# system_size, network_name, epoch, replay_memory, device, learning_rate, target_update, optimizer, discount_factor, total_training_steps, mean_q_list, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, failure_rate, p_error_train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,size_3_NN_11,1,proportional,cpu,0.00025,10,Adam,0.95,5,0.098,0.01,10,18.0,0.1,0.19999999999999996,45.2,0,0.05
3,size_3_NN_11,2,proportional,cpu,0.00025,10,Adam,0.95,10,0.105,0.01,10,19.0,0.1,0.19999999999999996,45.2,0,0.05
3,size_3_NN_11,3,proportional,cpu,0.00025,10,Adam,0.95,15,4.163,0.01,10,10.0,0.7,0.4,18.3,0,0.05
3,size_3_NN_11,4,proportional,cpu,0.00025,10,Adam,0.95,20,149.172,0.01,10,20.0,0.0,0.19999999999999996,50.0,0,0.05
3,size_3_NN_11,5,proportional,cpu,0.00025,10,Adam,0.95,25,130.173,0.01,10,20.0,0.0,0.0,50.0,0,0.05
3,size_3_NN_11,6,proportional,cpu,0.00025,10,Adam,0.95,30,93.231,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.05
3,size_3_NN_11,7,proportional,cpu,0.00025,10,Adam,0.95,35,157.7,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.05
3,size_3_NN_11,8,proportional,cpu,0.00025,10,Adam,0.95,40,138.712,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.05
3,size_3_NN_11,9,proportional,cpu,0.00025,10,Adam,0.95,45,159.076,0.01,10,20.0,0.0,0.0,50.0,0,0.05
3,size_3_NN_11,10,proportional,cpu,0.00025,10,Adam,0.95,50,185.689,0.01,10,20.0,0.0,0.19999999999999996,50.0,0,0.05
